INFO 2025-09-14 21:22:18,158 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-09-14 21:22:18,162 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-09-14 21:22:18,163 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-09-14 21:22:18,169 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-09-14 21:22:18,170 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-14 21:22:18,171 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-09-14 21:22:18,173 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-09-14 21:22:18,176 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-09-14 21:22:18,178 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-09-14 21:22:18,180 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-09-14 21:22:18,183 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-09-14 21:22:18,189 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-09-14 21:22:18,205 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-14 21:22:19,872 basehttp "GET /admin/ HTTP/1.1" 200 10995
INFO 2025-09-14 21:22:20,539 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 16326
INFO 2025-09-14 21:22:20,568 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-09-14 21:22:20,568 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-09-14 21:22:20,571 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-14 21:22:20,593 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-09-14 21:22:20,593 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-09-14 21:22:31,000 basehttp "GET /admin/ HTTP/1.1" 200 10995
INFO 2025-09-14 21:22:33,564 basehttp "GET /admin/dashboard/student/ HTTP/1.1" 200 18648
INFO 2025-09-14 21:22:33,591 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-14 21:22:36,921 basehttp "GET /admin/ HTTP/1.1" 200 10995
INFO 2025-09-14 21:22:37,677 basehttp "GET /admin/dashboard/department/ HTTP/1.1" 200 14414
INFO 2025-09-14 21:22:37,711 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
